# Program:featureCounts v2.0.2; Command:"/Applications/software_bioinformatics/subread-2.0.2-macOS-x86_64/bin/featureCounts" "-T" "8" "-p" "-a" "/Users/rashmirao/Documents/Sidra_Externship/nextflow/RNA_seq_analysis_pc_version/raw_data/S288C_reference_genome_R64-5-1_20240529/yeast.gtf" "-o" "FeatureCounts.txt" "results_star/SRR18396493Aligned.sortedByCoord.out.bam" "results_star/SRR18396494Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results_star/SRR18396493Aligned.sortedByCoord.out.bam	results_star/SRR18396494Aligned.sortedByCoord.out.bam
YDL246C	chrIV	8683	9756	-	1074	0	0
YDL243C	chrIV	17577	18566	-	990	1388	1003
YDR387C	chrIV	1248154	1249821	-	1668	1344	1097
YDL094C	chrIV	289572	290081	-	510	9	8
YDR438W	chrIV	1338274	1339386	+	1113	387	373
YDR523C	chrIV	1485566	1487038	-	1473	200	87
YDR542W	chrIV	1523249	1523611	+	363	0	0
YDR492W	chrIV	1434924	1435874	+	951	1955	1821
YDR018C	chrIV	482670	483860	-	1191	1343	813
YDL189W	chrIV	122216	123589	+	1374	1169	1065
YDR508C	chrIV	1466453	1468444	-	1992	6357	3582
YDR462W	chrIV	1386073	1386516	+	444	992	831
YDR175C	chrIV	813193	814152	-	960	1127	903
YDR186C	chrIV	832859	835492	-	2634	7747	5877
YDR150W	chrIV	755628	763874	+	8247	6735	3609
YDR243C	chrIV	948518	950284	-	1767	629	705
YDL182W	chrIV	133437	134723	+	1287	1748	1347
YDR362C	chrIV	1196679	1198697	-	2019	1185	984
YDR232W	chrIV	927452	929098	+	1647	3380	2301
YDR158W	chrIV	770357	771454	+	1098	2066	1854
YDR439W	chrIV	1339676	1340719	+	1044	480	400
YDL206W	chrIV	90176	92464	+	2289	3911	2362
YDR125C	chrIV	701397	702758	-	1362	1200	974
YDR338C	chrIV	1147379	1149466	-	2088	1679	1610
YDR526C	chrIV	1491075	1491545	-	471	11	3
